company,trial,sex,"[12,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,90]"
gsk,GSK200109,female,0,0,7,48,111,41,5
gsk,GSK200109,male,0,0,14,98,172,109,14
gsk,GSK200110,female,0,0,13,77,104,32,3
gsk,GSK200110,male,0,0,18,102,172,88,11
gsk,GSK201315,female,0,0,10,95,121,85,19
gsk,GSK201315,male,0,0,27,180,320,165,15
gsk,GSKAC4116135,female,0,0,17,72,87,30,2
gsk,GSKAC4116135,male,0,0,26,87,175,112,9
gsk,GSKAVA102670_v02,female,0,0,0,53,188,378,198
gsk,GSKAVA102670_v02,male,0,0,0,56,158,292,147
gsk,GSKAVA102672_v02,female,0,0,0,50,152,426,260
gsk,GSKAVA102672_v02,male,0,0,0,36,134,275,143
gsk,GSKAVA105640_v02,female,0,0,0,35,83,157,89
gsk,GSKAVA105640_v02,male,0,0,0,11,63,105,37
gsk,GSKB2C112060,female,55,21,45,51,23,9,0
gsk,GSKB2C112060,male,44,30,24,27,15,3,0
gsk,GSKDB2113360_v02,female,0,0,26,79,101,46,9
gsk,GSKDB2113360_v02,male,0,0,32,167,223,149,14
gsk,GSKFFA112059,female,45,32,48,55,20,4,1
gsk,GSKFFA112059,male,50,23,28,29,12,2,0
gsk,GSKFFA115285,female,74,42,52,42,17,5,1
gsk,GSKFFA115285,male,63,20,14,13,2,6,0
gsk,GSKFFR106080,female,56,34,40,26,10,5,0
gsk,GSKFFR106080,male,56,27,13,17,13,5,0
gsk,GSKHGS1006_C1056_v05,female,156,221,231,123,33,5,0
gsk,GSKHGS1006_C1056_v05,male,12,14,13,13,5,0,0
gsk,GSKHGS1006_C1057_v03,female,287,253,180,79,23,1,0
gsk,GSKHGS1006_C1057_v03,male,17,15,9,3,0,0,0
gsk,GSKMEA115588,female,30,41,76,93,68,22,2
gsk,GSKMEA115588,male,20,25,64,65,62,12,0
gsk_new,GSK101468_169,female,0,0,3,28,52,56,7
gsk_new,GSK101468_169,male,0,5,9,51,87,82,13
gsk_new,GSK101468_204,female,13,23,73,107,85,41,0
gsk_new,GSK101468_204,male,5,19,60,62,57,20,0
gsk_new,GSK101468_205,female,16,16,65,94,43,20,0
gsk_new,GSK101468_205,male,4,17,35,34,29,11,0
gsk_new,GSK101468_249,female,18,19,54,69,53,19,0
gsk_new,GSK101468_249,male,6,17,34,45,37,10,0
gsk_new,GSK200165_v02,female,83,110,141,78,16,0,0
gsk_new,GSK200165_v02,male,55,67,65,54,12,1,0
gsk_new,GSKAR1103420,female,0,33,269,866,2469,2970,1033
gsk_new,GSKAR1103420,male,10,161,1090,2381,4132,3578,989
gsk_new,GSKAR2103413_v02,female,4,24,196,548,960,1153,436
gsk_new,GSKAR2103413_v02,male,34,323,1546,2707,2259,1539,323
gsk_new,GSKAVD100521_v02,female,0,0,21,71,81,43,0
gsk_new,GSKAVD100521_v02,male,0,3,43,166,168,75,1
gsk_new,GSKCOR103560,female,0,1,7,17,9,9,0
gsk_new,GSKCOR103560,male,0,8,8,18,24,5,1
gsk_new,GSKCOR103561,female,5,19,61,113,54,17,1
gsk_new,GSKCOR103561,male,8,45,80,104,47,13,1
gsk_new,GSKFFR101816,female,95,80,62,29,2,0,0
gsk_new,GSKFFR101816,male,56,26,23,7,3,0,0
gsk_new,GSKFFR30003,female,49,52,53,26,11,1,0
gsk_new,GSKFFR30003,male,42,23,22,19,5,0,0
gsk_new,GSKFFR30006,female,39,42,65,58,30,13,0
gsk_new,GSKFFR30006,male,15,16,31,18,12,11,2
gsk_new,GSKFFR30007,female,46,57,56,40,22,9,3
gsk_new,GSKFFR30007,male,20,22,29,22,16,6,0
gsk_new,GSKFFU111439,female,62,50,51,32,15,3,0
gsk_new,GSKFFU111439,male,36,21,20,11,10,3,1
gsk_new,GSKROR104836,female,5,10,52,78,78,33,0
gsk_new,GSKROR104836,male,6,13,25,35,54,15,0
